"File","Total Replacements","License-Box","License Box","LicenseBox"
"KeyderaRename.ps1","3","1","1","1"
"rename_to_keydera.py","3","1","1","1"
"application\config\config.php","4",,,"4"
"application\config\database.php","5",,,"5"
"application\config\lb_config.php","3",,,"3"
"application\config\rest.php","1",,,"1"
"application\controllers\Activations.php","1",,,"1"
"application\controllers\Api_external.php","3",,,"3"
"application\controllers\Api_internal.php","3",,,"3"
"application\controllers\Cron.php","3",,,"3"
"application\controllers\Downloads.php","3",,,"3"
"application\controllers\Generate_helpers.php","3",,,"3"
"application\controllers\Licenses.php","4",,,"4"
"application\controllers\Pages.php","3",,,"3"
"application\controllers\Products.php","3",,,"3"
"application\controllers\Settings.php","1",,,"1"
"application\controllers\Users.php","1",,,"1"
"application\core\core_init.php","1",,,"1"
"application\helpers\envato_helper.php","3",,,"3"
"application\helpers\general_helper.php","3",,,"3"
"application\helpers\license_helper.php","3",,,"3"
"application\hooks\init.php","2",,,"2"
"application\language\chinese\chinese.po","1",,,"1"
"application\language\english\english.po","1",,,"1"
"application\language\german\german.po","1",,,"1"
"application\language\portuguese\portuguese.po","1",,,"1"
"application\libraries\api_helper_samples\external_api_helper_sample.php","1",,,"1"
"application\libraries\api_helper_samples\external_api_helper_sample_wp.php","1",,,"1"
"application\libraries\api_helper_samples\internal_api_helper_sample.php","1",,,"1"
"application\models\Activations_model.php","3",,,"3"
"application\models\Cron_model.php","3",,,"3"
"application\models\Downloads_model.php","3",,,"3"
"application\models\Licenses_model.php","3",,,"3"
"application\models\Products_model.php","3",,,"3"
"application\models\User_model.php","5",,,"5"
"application\views\errors\html\error_404.php","1",,,"1"
"application\views\errors\html\error_db.php","1",,,"1"
"application\views\errors\html\error_general.php","1",,,"1"
"application\views\generate_helpers\external_helper.php","2",,,"2"
"application\views\generate_helpers\internal_helper.php","2",,,"2"
"application\views\pages\check_updates.php","1",,,"1"
"application\views\pages\dashboard.php","19",,,"19"
"application\views\pages\verify_license.php","2",,,"2"
"application\views\settings\api_settings.php","5",,,"5"
"application\views\settings\email_settings.php","1",,,"1"
"application\views\settings\general_settings.php","3",,,"3"
"application\views\templates\footer.php","1",,,"1"
"application\views\templates\header.php","3",,,"3"
"application\views\templates\menu.php","1",,,"1"
"application\views\users\forgot_password.php","1",,,"1"
"application\views\users\login.php","1",,,"1"
"application\views\users\reset_password.php","1",,,"1"
"install\config-sample.php","3",,,"3"
"install\database-sample.php","3",,,"3"
"install\database.sql","2",,,"2"
"install\index.php","1",,,"1"
"install\install.php","3",,,"3"
